spotify_artist_name,spotify_artist_id,spotify_artist_followers,spotify_artist_genres
Maná,7okwEbXzyT2VffBmyQBWLz,13125938,"rock en español,latin rock,mexican rock,latin pop"
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,9064638,disco
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,7114961,soft rock
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,12375441,"old school hip hop,gangster rap,east coast hip hop,hip hop"
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,11769884,"latin pop,latin"
Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,3331664,
Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,8164412,latin pop
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,11300909,
Madonna,6tbjWDEIzxoDsBA1FuhfPW,8634981,
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,12686812,"r&b,neo soul"
John Mayer,0hEurMDQu99nJRq8pTxO14,6183666,singer-songwriter
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,9071693,
Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,10691418,"salsa,merengue,bachata,latin"
Ricardo Arjona,0h1zs4CTlU9D2QtgPxptUD,14252438,latin pop
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,7011929,"motown,classic soul,soul"
Ludacris,3ipn9JLAPI5GUEo4y4jcoi,3360011,southern hip hop
Plan B,2jSGzJw0ebJLu7OLVSOcBP,6245739,reggaeton
Aventura,1qto4hHid1P71emI6Fd8xi,10262364,bachata
USHER,23zg3TcAtWQy7J6upgbUnj,13415487,r&b
Vicente Fernández,4PPoI9LuYeFX8V674Z1R6l,12870613,"mariachi,ranchera,música mexicana,bolero,banda,norteño"
Alejandro Fernández,6sq1yF0OZEWA4xoXVKW1L9,8473951,"mariachi,ranchera,latin pop,bolero"
T-Pain,3aQeKQSyrW4qWr35idm0cy,5586679,
Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,4737221,"classical,classical piano"
Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,9399401,r&b
Alka Yagnik,3gBKY0y3dFFVRqicLnVZYz,19319738,"bollywood,hindi pop,desi"
Udit Narayan,70B80Lwx2sxti0M1Ng9e8K,20204456,"bollywood,hindi pop,desi"
Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb,14188700,"bollywood,desi,hindi pop"
Bibi und Tina,2x8vG4f0HYXzMEo3xNsoiI,551770,
Yuvan Shankar Raja,6AiX12wXdXFoGJ2vk8zBjy,16464922,"tamil pop,kollywood,tamil dance,tamil hip hop"
Bibi Blocksberg,3t2iKODSDyzoDJw7AsD99u,347165,
Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,9723197,"grunge,rock,post-grunge"
The Offspring,5LfGQac0EIXyAN8aUwmNAQ,6439057,"punk,skate punk"
Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,6812947,"classic country,outlaw country,country"
Eagles,0ECwFtbIWEVNwjlrfc6xoL,11890387,"classic rock,yacht rock,soft rock"
Korn,3RNrq3jvMZxD9ZyoOZbQOD,9284499,"nu metal,metal,rap metal,alternative metal"
MGMT,0SwO7SWeDHJijQ3XNS7xEE,3503736,indie
MF DOOM,2pAWfrd7WFF3XhVt9GooDL,3896598,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop"
The Cure,7bu3H8JO7d0UbMoVzbo70s,6469461,"new wave,post-punk,gothic rock,darkwave"
