spotify_artist_name,spotify_artist_id,spotify_artist_followers,spotify_artist_genres
Conjunto Primavera,3nFB4eMP5gdqee2eQb8nZb,3823768,"grupera,norteño-sax,norteño,banda,cumbia norteña"
Jenni Rivera,5c4wQaXkNDqSOTjqX4ExAu,4762465,"banda,mariachi,ranchera,música mexicana,grupera"
Javed Ali,4W91bbPB2CTSsHwt7eqNl7,12041204,"sufi,bollywood,hindi pop,qawwali,desi,desi pop"
Amaal Mallik,76fuWYgIf3TVIopTs3vaJ6,4955368,"bollywood,hindi pop,desi"
Chinmayi,5UJ2sHO2ELrgW6aXeRLTQQ,4469215,"tollywood,tamil pop,telugu pop,kollywood,marathi pop,bollywood,hindi pop"
Olly Alexander (Years & Years),5vBSrE1xujD2FXYRarbAXc,2039622,
Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,3549062,
Moby,3OsRAKCvk37zwYcnzRf5XF,2031324,"downtempo,trip hop"
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,3778554,"stoner rock,alternative rock"
Blur,7MhMgCo0Bl0Kukl93PZbYS,3822247,"britpop,madchester,alternative rock"
Yusuf / Cat Stevens,08F3Y3SctIlsOEmKd6dnH8,2130966,"folk rock,folk,singer-songwriter"
Gustavo Santaolalla,4W3fa7tiXGVXl3KilbACqt,384980,soundtrack
Pantera,14pVkFUHDL207LzLHtSA18,6015456,"groove metal,metal,thrash metal,heavy metal"
Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP,2003991,
Kidz Bop Kids,1Vvvx45Apu6dQqwuZQxtgW,1342585,children's music
Blondie,4tpUmLEVLCGFr93o8hFFIB,1800279,
Bunbury,4uqzzJg3ww5eH7IgGV7DMT,2977785,"rock en español,latin rock,mexican rock"
John Denver,7EK1bQADBoqbYXnT4Cqv9w,2494713,folk
E-40,3crnzLy8R4lVwaigKEOz7V,1004237,"hyphy,west coast hip hop,g-funk"
Julio Iglesias,4etuCZVdP8yiNPn4xf0ie5,3461878,bolero
Willie Colón,7x5Slu7yTE5icZjNsc3OzW,2597915,"salsa,merengue,son cubano"
Babasonicos,2F9pvj94b52wGKs0OqiNi2,1705248,"argentine rock,rock en español,latin rock,latin alternative"
Caifanes,1GImnM7WYVp95431ypofy9,4753643,"rock en español,mexican rock,latin rock,latin alternative"
Grupo Niche,1zng9JZpblpk48IPceRWs8,4377760,"salsa,merengue"
Kenny Rogers,4tw2Lmn9tTPUv7Gy7mVPI4,3106540,"country,classic country"
Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,3085926,latin pop
Eros Ramazzotti,61J0BktHv7PuP3tjTPYXSX,2453818,italo dance
Ñejo,2OHKEe204spO7G7NcbeO2o,4742894,reggaeton
Franco De Vita,4NEYQeEYBUjfaXgDQGvFvu,6109003,latin pop
Olivia Newton-John,4BoRxUdrcgbbq1rxJvvhg9,1752344,
Carpenters,1eEfMU2AhEo7XnKgL7c304,3704133,"christmas,adult standards"
Leo Dan,6qhOH2mrlqUDod9sWA5kR2,4079392,"bolero,ranchera,mariachi"
Project Pat,08Ld63UgKrJ0nZnCkzHtzc,930602,"southern hip hop,crunk,gangster rap"
Royal Philharmonic Orchestra,0MvSBMGRQJY3mRwIbJsqF1,188195,"orchestra,classical"
Fergie,3r17AfJCCUqC9Lf0OAc73G,6074010,
Ja Rule,1J2VVASYAamtQ3Bt8wGgA6,2100529,"east coast hip hop,r&b"
Péricles,6gEzJZrbm0F4ihvE9iXR9z,3436490,"pagode,samba"
Gilberto Santa Rosa,27vNK840zYq6IfDijHPsv1,3599529,"salsa,merengue"
Jamie Foxx,7LnaAXbDVIL75IVPnndf7w,1300954,
Ricardo Montaner,4uoz4FUMvpeyGClFTTDBsD,6790902,latin pop
Ciara,2NdeV5rLm47xAvogXrYhJX,7214658,
Raekwon,2yQf6b8hxahZaT5dHlWaB1,655237,"east coast hip hop,old school hip hop,hardcore hip hop,hip hop,boom bap"
L.V.,2LhsePRtgCo4THVKULQBL7,57523,"g-funk,west coast hip hop,new jack swing"
Rascal Flatts,0a1gHP0HAqALbEyxaD5Ngn,3658625,country
Valentín Elizalde,3CAhiUHkUYT1mFtVHM9SHA,3868343,"banda,norteño,corrido,grupera"
Asha Bhosle,5as8A4G47Ohu9NSWs3Je8U,9788628,"ghazal,marathi pop,bangla pop,bollywood,hindi pop"
Antonio Aguilar,0PN0fbe41KbuzlRYnoajNm,3809548,"ranchera,mariachi,corrido,norteño,música mexicana,banda,bolero"
Los Cadetes De Linares,1iIxNEvPPmdFIIP0tdpw6G,3223215,"norteño,corrido,bolero,banda,grupera,ranchera,música mexicana"
Madlib,5LhTec3c7dcqBvpLRWbMcf,552100,"experimental hip hop,alternative hip hop,jazz rap"
Chalino Sanchez,7u9m43vPVTERaALXXOzrRq,3665042,"corrido,norteño,música mexicana,banda"
Grupo Bryndis,44WCHvwXBOMz6nm7Mu2ReO,3165479,"grupera,cumbia"
Los Invasores De Nuevo León,5CGtBYmVPeLhI1kM2Fn9Gv,2660479,"norteño,cumbia norteña,corrido,grupera,banda,bolero,tejano"
S. Janaki,5Xpg6PBSUOoho2lI9qLjiu,5116234,"kannada pop,tamil pop,telugu pop,sandalwood"
K. J. Yesudas,2wPsNCwhEGb0KvChZ5DD52,9712461,"malayalam pop,devotional,mollywood,tamil pop"
Shankar-Ehsaan-Loy,0L5GV6LN8SWWUWIdBbTLTZ,7687674,"bollywood,sufi,desi,hindi pop"
The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,2016191,folk rock
Genesis,3CkvROUTQ6nRi9yQOcsB50,3663248,"progressive rock,art rock"
Cypress Hill,4P0dddbxPil35MNN9G2MEX,2331490,"west coast hip hop,old school hip hop,rap rock,hip hop"
Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,3620129,"old school hip hop,east coast hip hop,hip hop,gangster rap,hardcore hip hop"
The Who,67ea9eGLXYMsO2eYQRui3w,5743974,"classic rock,rock"
Café Tacvba,09xj0S68Y1OU1vHMCZAIvz,3616682,"rock en español,mexican rock,latin rock,latin alternative,ska"
Incubus,3YcBF2ttyueytpXtEzn1Za,3576229,"nu metal,funk rock,alternative metal,alternative rock"
Gigi D'Agostino,1OAjDaKgg00KCUYqDe68un,1071355,"eurodance,italo dance"
Eurythmics,0NKDgy9j66h3DLnN8qu1bB,2274011,"new wave,synthpop"
Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu,4675334,"rock en español,folk metal,celtic rock,mexican rock"
Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,3252543,
Chuck Berry,293zczrfYafIItmnmM3coR,2176014,"rockabilly,rock and roll"
Nina Simone,7G1GBhoKtEPnP86X2PvEYO,3169429,"vocal jazz,jazz blues,soul,soul jazz,jazz,blues"
Bob Sinclar,5YFS41yoX0YuFY39fq21oN,718118,"french house,disco house"
Joe Hisaishi,7nzSoJISlVJsn7O0yTeMOB,1442111,"japanese classical,anime"
Counting Crows,0vEsuISMWAKNctLlUAhSZC,1920880,
Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,1812292,"motown,soul,classic soul"
UB40,69MEO1AADKg1IZrq2XLzo5,2580427,reggae
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,3459160,"new wave,synthpop"
Etta James,0iOVhN3tnSvgDbcg25JoJb,1940516,"soul,jazz blues,soul blues,blues,vocal jazz"
Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,2892635,classic rock
Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,2408308,"argentine rock,latin rock,ska,rock en español,murga,latin alternative"
The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,2784214,"yacht rock,classic rock,soft rock,southern rock"
Yo-Yo Ma,5Dl3HXZjG6ZOWT5cV375lk,642422,"classical,chamber music"
Air Supply,4xXCRXOfQKQ2gjWxNhNzYW,5133147,soft rock
Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,2511363,singer-songwriter
Tina Turner,1zuJe6b1roixEKMOtyrEak,4670983,
Bootsy Collins,5K0rbdBrs2tNXe5LeWMATT,425624,
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4148074,
Neil Diamond,7mEIug7XUlQHikrFxjTWes,3167465,
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,3014097,
Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,3340692,"trova,singer-songwriter,nueva trova"
INNA,2w9zwq3AktTeYYMuhMjju8,1479843,europop
Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW,1227729,yacht rock
James Taylor,0vn7UBvSQECKJm2817Yf1P,2824083,"folk rock,singer-songwriter,soft rock,yacht rock"
Cher,72OaDtakiy6yFqkt4TsiFt,3719187,
TLC,0TImkz4nPqjegtVSMZnMRq,4409365,
Grupo Revelação,7yQrcdkLdBAkV7yY9fF2Hw,2136709,"pagode,samba"
Wiener Philharmoniker,003f4bk13c6Q3gAUXv7dGJ,153109,"classical,opera,orchestra,requiem"
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,2910437,"country,classic country"
Herbert von Karajan,5zCaQxjl110XTrm4LQ1CxY,192864,"classical,opera,orchestra,requiem"
Emmanuel,2DmYtFBKcxb3ajwWWgA576,3358997,latin pop
Perry Como,5v8jlSmAQfrkTjAlpUfWtu,581290,"christmas,adult standards"
Mohammed Rafi,0gXDpqwYNDODn7fB0RDN8J,9900724,"ghazal,hindi pop"
Ol' Dirty Bastard,50NoVNy9GU1lCrDV8iGpyu,1167543,"east coast hip hop,old school hip hop,hardcore hip hop"
Sukhwinder Singh,19MVxKZZdPj2X0F8pi0OCT,1013918,"bollywood,desi,hindi pop"
Burl Ives,0MHgLfmQdutffmvWe5XBTN,113692,christmas
Fünf Freunde,1hD52edfn6aNsK3fb5c2OT,136950,
Shaan,5cB4d4jPYjMT326sjihQ4m,8969189,"bollywood,hindi pop,desi,bangla pop"
Sadhana Sargam,1HGMG8RHvcu1mfdM9MeTek,1393346,"tamil pop,bollywood"
Ray Charles,1eYhYunlNJlDoQhtYBvPsi,2559697,"jazz blues,soul,soul blues,blues,classic soul,vocal jazz"
Deep Purple,568ZhdwyaiCyOGJRtNYhWf,5900340,"hard rock,classic rock,rock"
Judas Priest,2tRsMl4eGxwoNabM08Dm4I,4437526,"heavy metal,metal,hard rock,glam metal"
No Doubt,0cQbJU1aAzvbEmTuljWLlF,3069078,
Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,1822824,"rock en español,latin rock,latin alternative"
Kool & The Gang,3VNITwohbvU5Wuy5PC6dsI,2749893,"disco,funk"
Erik Satie,459INk8vcC0ebEef82WjIK,924015,"classical,classical piano"
Mobb Deep,6O2zJ0tId7g07yzHtX0yap,2345595,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap"
Creed,43sZBwHjahUvgbx1WNIkIz,4110572,post-grunge
Los Fabulosos Cadillacs,2FS22haX3FYbyOsUAkuYqZ,3354800,"rock en español,latin rock,ska,argentine rock,latin alternative,mexican ska,murga"
TheFatRat,3OKg7YbOIatODzkRIbLJR4,2002819,
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,2361152,"jazz rap,east coast hip hop,hip hop,old school hip hop"
Hardwell,6BrvowZBreEkXzJQMpL174,3630087,"big room,edm,progressive house,electronica"
Erykah Badu,7IfculRW2WXyzNQ8djX8WX,3174695,"neo soul,r&b"
Don Diablo,1l2ekx5skC4gJH8djERwh1,1842313,"future house,edm"
Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,2126726,"synthpop,new wave"
Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2091847,"italo disco,europop,eurodance"
Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,3601112,"nu metal,alternative metal,hard rock,rap metal,metal"
George Harrison,7FIoB5PHdrMZVC3q2HE5MS,2998477,
Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,2532107,"mpb,bossa nova,samba"
Skank,4C4kpaAdp6aKSkguw40SsU,3256423,"brazilian rock,mpb,brazilian pop,pop rock"
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,1638265,"outlaw country,classic country,country,honky tonk,traditional country"
Tony Bennett,2lolQgalUvZDfp5vvVtTYV,994176,"vocal jazz,christmas,big band,adult standards,jazz"
Steely Dan,6P7H3ai06vU1sGvdpBwDmE,2473042,"yacht rock,classic rock"
Fat Joe,3ScY9CQxNLQei8Umvpx5g6,2062948,east coast hip hop
Aaliyah,0urTpYCsixqZwgNTkPJOJ4,4933864,r&b
Riton,7i9j813KFoSBMldGqlh2Z1,158520,house
Eason Chan,2QcZxAgcs2I1q7CtCkl6MI,3548222,"cantopop,mandopop,c-pop,taiwanese pop"
Keyshia Cole,1vfezMIyCr4XUdYRaKIKi3,4243901,r&b
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,1062423,"classical,classical piano,chamber music,orchestra"
Academy of St. Martin in the Fields,77CaCn32H4mOMQA7UElzfF,66035,"classical,chamber music,orchestra"
Paulina Rubio,1d6dwipPrsFSJVmFTTdFSS,3015235,latin pop
Ghostface Killah,6FD0unjzGQhX3b6eMccMJe,980942,"east coast hip hop,hardcore hip hop,hip hop"
Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,3037303,classic rock
Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,4430790,southern hip hop
Pradeep Kumar,15ClyGUe5g2vllncIC4tp6,2195792,"tamil pop,kollywood"
Eve,4d3yvTptO48nOYTPBcPFZC,1543499,
Marisela,73c2MjCAFNyKYIs7nBlqG2,2498715,
Alejandra Guzman,7Hf9AwMO37bSdxHb0FBGmO,4164801,latin pop
Zezé Di Camargo & Luciano,4dyYjqmYDjegbB3F2mbvcT,4658322,"sertanejo tradicional,sertanejo"
Mijares,3zhijRRIZX2B6G2T7vJl9p,2457416,"villancicos,latin pop"
Silambarasan TR,5Hn84AFwiTEi8eMoI5B9AS,1810544,"tamil dance,tamil pop,kollywood,tamil hip hop"
Sujatha,2JEjaa7hWhE1BbL3OcoeFR,3677367,"malayalam pop,mollywood,tamil pop,telugu pop,kollywood"
R. Kelly,2mxe0TnaNL039ysAj51xPQ,2477713,r&b
Los Inquietos Del Norte,0pgvlX0BkfmeirXTDiNmya,1817039,"corrido,norteño,hyphy,banda,música mexicana"
Anuradha Paudwal,4hkB2bR5ek6lJChj6aunCn,6858200,"bhajan,marathi pop,devotional,ghazal"
Abhijeet,2ZRrPOjBIWoKK5rHedLijj,5642223,"bollywood,hindi pop"
Sheila On 7,6q87vizIEdEN4NvlR6mjfT,10205101,"indonesian pop,malay,indorock,indonesian indie"
Kavita Krishnamurthy,6WPmTGeeoymoVlXVtsCwz7,3808016,"bollywood,gujarati garba,hindi pop"
Jatin-Lalit,4YgUVg4p7xtMOrOS4GjiJZ,434078,"bollywood,hindi pop,desi"
Jamiroquai,6J7biCazzYhU3gM9j1wfid,2677756,acid jazz
El Cuarteto De Nos,13JJKrUewC1CJYmIDXQNoH,2828884,"cuarteto,argentine rock,latin rock,rock en español"
Placebo,6RZUqkomCmb8zCRqc9eznB,2071556,britpop
Tom Morello,74NBPbyyftqJ4SpDZ4c1Ed,228234,
Nine Inch Nails,0X380XXQSNBYuleKzav5UO,2960472,"industrial rock,industrial,industrial metal,alternative metal,nu metal"
Patricio Rey y sus Redonditos de Ricota,6byQKddO1b34lXC2ZEjehQ,2118447,argentine rock
Will Smith,41qil2VaGbD194gaEcmmyx,1127926,
PXNDX,5NNlkZBrBpOJ7C11JwVxIj,1676605,"rock en español,mexican rock,latin rock"
Heroes Del Silencio,3qAPxVwIQRBuz5ImPUxpZT,2904275,"rock en español,latin rock,mexican rock,latin alternative"
Bonnie Tyler,0SD4eZCN4Kr0wQk56hCdh2,2331432,
Sir Simon Rattle,4GQwgdcDQwqtcHICjUNndp,56877,"classical,orchestra"
Boyz II Men,6O74knDqdv3XaWtkII7Xjp,3525084,"new jack swing,r&b,quiet storm"
Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,843496,"bossa nova,brazilian jazz,mpb,latin jazz"
Boston,29kkCKKGXheHuoO829FxWK,3089561,"classic rock,aor"
Kid Rock,7dOBabd5O4CvKrg4iriHTM,2937268,
The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,3044001,"pop punk,emo"
Dybbukk,0UAfgrYSLcjHNocndTNjhH,104972,
Kansas,2hl0xAkS2AIRAu23TVMBG1,1853124,"classic rock,progressive rock,aor"
Mecano,5BMgsAFg8rZQc3tqs5BB8G,2067121,"rock en español,latin pop"
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,3221716,"motown,classic soul,soul"
Heart,34jw2BbxjoYalTp8cJFCPv,2928275,"classic rock,aor,rock"
Prezioso,3iMzbvXlgNUpoFccD60bvr,152804,italo dance
Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,1306329,
Bone Thugs-N-Harmony,5spEJXLwD1sKUdC2bnOHPg,3262312,"gangster rap,old school hip hop,g-funk"
Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1,2654132,post-grunge
kevoxx,5xmZKWPhiMa6sD84Efjrh9,4989,
Eddie Santiago,5Wg6XnPTp0xXxFCjywwR9I,2561662,"salsa,merengue"
Diana Ross,3MdG05syQeRYPPcClLaUGl,2129706,"motown,disco"
Xzibit,4tujQJicOnuZRLiBFdp3Ou,2205919,"west coast hip hop,gangster rap,g-funk,old school hip hop,hardcore hip hop,hip hop"
Howard Shore,0OcclcP5o8VKH2TRqSY2A7,492194,soundtrack
Fabolous,0YWxKQj2Go9CGHCp77UOyy,2738914,
Arizona Zervas,0vRvGUQVUjytro0xpb26bs,800362,
Tarkan,2yMN0IP20GOaN6q0p0zL5k,3798940,"turkish pop,t-pop"
Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,2727389,country
Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,8924915,arabesk
Frankie Ruiz,4dLvccxeQIM5u80Ri0u9OV,2138501,"salsa,merengue"
Ivete Sangalo,7dzq55YG3wjViqexDwiycQ,2203658,"axé,mpb,pagode baiano,brazilian pop"
The Wiggles,2JY5qzEozvTdogkDTkkOMf,322028,"children's music,lullaby"
The Chicks,25IG9fa7cbdmCIy3OnuH57,1522268,country
Yuri,4OgNARLQSC4yy7Dsa5cqxx,2662056,villancicos
Mika Singh,5T2I75UlGBcWd5nVyfmL13,9897933,"bollywood,desi,hindi pop"
Binomio de Oro de América,3yHLsTJ9OZ19qwY1Q5BEQJ,2650104,vallenato
Dwele,7u6LfVyYpEzMpHLL7jTyvU,310839,neo soul
Himesh Reshammiya,0sSxphmGskGCKlwB9xa6WU,11736031,"bollywood,hindi pop,desi"
Chris Tomlin,6pRi6EIPXz4QJEOEsBaA0m,2094818,"christian,worship,ccm,pop worship,christian country"
Pancho Barraza,5dmU7FrmtbQaSzIvGsE4Jp,3414295,"banda,norteño,grupera"
George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,969846,"classical,opera,choral"
Pesado,4BwiodzEp9Hwes5HeFjMVK,2513620,"norteño,grupera,banda,tejano,cumbia norteña"
Traditional,1U5zgr455OGyIkLNXvDdrf,97451,christmas
Grupo Laberinto,24z2EWgF5nVUKnbJHd9ku2,1144459,"corrido,norteño,banda"
Ennio Morricone,1nIUhcKHnK6iyumRyoV68C,1298887,
Seu Jorge,0i1s9WcIu0PrUvHzALgofo,1802332,"mpb,samba,pagode"
Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,3644486,singer-songwriter
Fugees,2WKdxPFRD7IqZvlIAvhMgY,1608918,east coast hip hop
Good Charlotte,5aYyPjAsLj7UzANzdupwnS,2799840,"pop punk,punk,emo"
Motörhead,1DFr97A9HnbV3SKTJFu62M,4394401,"heavy metal,metal,speed metal,hard rock,rock"
Nightwish,2NPduAUeLVsfIauhRwuft1,2388821,"symphonic metal,gothic metal,power metal,metal,folk metal,gothic rock"
Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,902271,"trova,singer-songwriter,latin folk,nueva trova,candombe"
Grateful Dead,4TMHGUX5WI7OOm53PqSDAT,2002569,"jam band,psychedelic rock,acid rock"
Eazy-E,7B4hKK0S9QYnaoqa9OuwgX,6934154,"gangster rap,old school hip hop,west coast hip hop,g-funk"
Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,2259852,rockabilly
Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,2026322,
The Cramps,4lYtGx5NZQJHsMyhHc5iz3,570131,"psychobilly,horror punk,rockabilly,deathrock,punk,proto-punk,gothic rock"
Daniel Hope,59r5UU2HOytn9V5uMZ5Vur,52889,classical
Crowded House,7ohlPA8dRBtCf92zaZCaaB,1006889,
Sir Neville Marriner,6NUhQz7eAEsZvjEHTKHux9,34589,"classical,orchestra"
Arthur Conan Doyle,2AcBhTO6Q3zzUrfPKmskp3,16372,spoken word
In Flames,57ylwQTnFnIhJh4nu4rxCs,1277715,"melodic death metal,metal,death metal,metalcore"
Scooter,0HlxL5hisLf59ETEPM3cUA,941978,"happy hardcore,eurodance"
Gloria Estefan,5IFCkqu9J6xdWeYMk5I889,852895,
Richard Marx,0grdhNhiRLFBaFVyybqsj6,1496359,soft rock
Djavan,5rrmaoBXZ7Jcs4Qb77j0YA,3563750,"mpb,bossa nova"
DJ Premier,6GEykX11lQqp92UVOQQCC7,314785,east coast hip hop
Chris Rea,5KEG7G8LDYlHgFDqZyEEs2,1133887,christmas
D12,5Qi4Bb7a8C0a00NZcA77L0,3465217,
Los Palmeras,2Htm0q72SjGSmsy8EOIhRG,2040691,"cumbia,cuarteto"
Ginuwine,7r8RF1tN2A4CiGEplkp1oP,2772917,r&b
Raça Negra,1RnHJ07H3jcpay9PrUPjnt,2588507,"pagode,samba"
José Luis Perales,5RwfJb8wxN1fuodcPORVxP,2769160,"trova,villancicos"
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,4069405,new jack swing
Twista,6vbY3hOaCAhC7VjucswgdS,1209747,
Alonzo,2z2TRvloJt4EfUNQp9rHAi,2159270,"french rap,pop urbaine,french r&b"
Teoman,40KlwpvpKEQtZTJgbml8lT,2576075,"anatolian rock,turkish pop"
Jerry Rivera,7wOZy3KdFVVINgNFFxkxwO,2356536,"salsa,merengue"
Too $hort,4sb7rZNN93BSS6Gqgepo4v,1654128,"hyphy,west coast hip hop,g-funk,old school hip hop,gangster rap"
La Sonora Dinamita,13or1Wf6ipcvSIiurZATvw,1368166,"cumbia,cumbia sonidera,tropical music,salsa"
Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,601178,"classical piano,classical,chamber music"
James Horner,3PhL2Vdao2v8SS8AptuhAr,345005,soundtrack
Chitãozinho & Xororó,7gfkYbxpguEc9bm6m8TpAr,2637910,"sertanejo tradicional,sertanejo,agronejo"
Playero,2YTyoyU90b3CF5x91YjVaQ,64025,reggaeton
José Alfredo Jimenez,2T06whb4s6UiufL1j5Qtz9,2378329,"mariachi,ranchera,música mexicana,bolero"
Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,430444,classical
Tammi Terrell,75jNCko3SnEMI5gwGqrbb8,223135,motown
Ati242,6bGOmNBU1AOgttgOjh0ldf,2907861,turkish hip hop
Los Angeles De Charly,01pQZzNIPRiVaCozNUrnyL,1399713,"cumbia,cumbia sonidera,grupera"
Los Dareyes De La Sierra,1ZMJSCQw8DIefcLb1FIpY0,1574084,"corrido,corridos bélicos,corridos tumbados,sierreño,electro corridos,dembow belico,banda,música mexicana"
Los Acosta,1sxekzjeHJaqkZbpaaGR9x,2538449,"grupera,cumbia,cumbia sonidera"
Inspectah Deck,4OBbOrkD4geIjOLrICN3wO,257298,east coast hip hop
Naresh Iyer,7FaGCZiP3s6X7jQTB8EhfI,1628548,"tamil pop,kollywood,tollywood,telugu pop"
Roop Kumar Rathod,03SZmfKAgYRQKUwy0EoJUa,4692515,"bollywood,sufi,hindi pop,desi"
Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,1035261,flamenco
John Coltrane,2hGh5VOeeqimQFxqXvfCUf,1794786,"jazz,hard bop,free jazz,bebop,cool jazz,jazz blues"
Iggy Pop,33EUXrFKGjpUSGacqEHhU4,1748395,"proto-punk,glam rock"
Barry White,3rfgbfpPSfXY40lzRK7Syt,2193407,"disco,soul,classic soul,quiet storm,philly soul"
Phoenix,1xU878Z1QtBldR7ru9owdU,1954501,indie
Thousand Foot Krutch,6GfiCQDFYANz5wUkSmb3Dr,1468179,"christian rock,christian alternative rock,rap metal"
Beck,3vbKDsSS70ZX9D2OcvbZmS,1689993,anti-folk
Jim Croce,1R6Hx1tJ2VOUyodEpC12xM,1608325,"folk rock,singer-songwriter"
Bonobo,0cmWgDlu9CwTgxPhf403hb,1458832,"trip hop,downtempo,nu jazz,electronic"
Billie Holiday,1YzCsTRb22dQkh9lghPIrp,2043838,"jazz,vocal jazz,jazz blues,big band"
Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,1178858,
Al Green,3dkbV4qihUeMsqN4vBGg93,2217919,"soul,classic soul,motown,soul blues"
Joe Cocker,3pFCERyEiP5xeN2EsPXhjI,2553187,
The Outfield,1zxDewzd2j1ZdSBGaYcr0y,762810,
La Mosca,60nua3AsVSfADZtg5Hdz3W,708869,"rock en español,latin rock,argentine rock,ska,murga"
Men At Work,0f3EsoviYnRKTkmayI3cux,1514115,
Kenny Dope,1TrfxjXu8quyDw05p2bacX,34332,
mor ve ötesi,5ixQSDvAMa5O758xG8MWXT,2525652,"anatolian rock,turkish pop"
Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,693669,"salsa,son cubano,bolero,cha cha cha,merengue,mambo,latin,latin dance"
Charly García,3jO7X5KupvwmWTHGtHgcgo,2092016,"argentine rock,latin rock,rock en español"
Craig David,2JyWXPbkqI5ZJa3gwqVa0c,962938,
Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,2053342,"argentine rock,latin rock,rock en español,trova"
John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,1856732,classic rock
Elvis Crespo,1c22GXH30ijlOfXhfLz9Df,1203948,"merengue,latin dance,salsa,latin"
Lil' Kim,5tth2a3v0sWwV1C7bApBdX,1877081,east coast hip hop
TobyMac,5VX8hxrcfJWwaTLiqGUHG3,1488435,"christian,christian pop,ccm,christian rock,christian hip hop,cedm,worship,christian alternative rock"
Zeca Pagodinho,3qZ2n5keOAat1SoF6bHwmb,2018150,"samba,pagode"
Jadakiss,5pnbUBPifNnlusY8kTBivi,1253288,east coast hip hop
London Philharmonic Orchestra,3PfJE6ebCbCHeuqO4BfNeA,244079,"classical,opera,orchestra"
RZA,4iCwCMnqsNZ6atvRiADgtn,603838,east coast hip hop
Brad Paisley,13YmWQJFwgZrd4bf5IjMY4,2884768,country
"Hank Williams, Jr.",2dyeCWctcFRt3Pha76ONgb,1856032,"outlaw country,classic country,country,honky tonk,country rock"
Jóhann Jóhannsson,3IpQziA6YwD53PQ5xbwgLF,308381,neoclassical
112,7urq0VfqxEYEEiZUkebXT4,1344443,r&b
Nusrat Fateh Ali Khan,5HcunTidTUrOaf8V0iJcvl,8932499,"qawwali,ghazal,sufi"
Brandy,05oH07COxkXKIMt6mIPRee,4018221,r&b
Leo Mattioli,2Mu8h5sFkOziL0Rfn7FXIA,1896782,"cumbia,cuarteto"
Marisa Monte,0rSTXALHu0EKAawPLBdODH,2565845,"mpb,nova mpb"
Udo Lindenberg,7iWcRnQMinCoV2u5ICgsW0,918315,"german pop,neue deutsche welle,schlager"
Mandy Moore,2LJxr7Pt3JnP60eLxwbDOu,789744,
Santiago Ziesmer,5isi7xwETQC1HbzQSaOufS,2453,
Belo,7hLjkyL9Pz9xtQNahzJZki,2049572,"pagode,samba"
