genre,tracks,views_sum,views_mean,streams_sum,streams_mean,freq_z,views_z,score
children's music,100,20573149378.0,205731493.78,2077825327.0,20778253.27,0.23255559528987363,1.1859684597250792,0.6139207410639559
chilean mambo,74,2243322038.0,30315162.675675675,3309720634.0,44725954.51351351,-0.03568870384937394,-0.2710216507823798,-0.12982188262257627
chilean trap,74,2243322038.0,30315162.675675675,3309720634.0,44725954.51351351,-0.03568870384937394,-0.2710216507823798,-0.12982188262257627
chillstep,10,85702473.0,8570247.3,847353100.0,84735310.0,-0.6959823632690603,-0.44252519580390126,-0.5945994962829967
chillwave,10,85702473.0,8570247.3,847353100.0,84735310.0,-0.6959823632690603,-0.44252519580390126,-0.5945994962829967
chinese hip hop,10,122994604.0,12299460.4,244897955.0,24489795.5,-0.6959823632690603,-0.43956094169179744,-0.5934137946381551
chinese r&b,10,641639156.0,64163915.6,509924223.0,50992422.3,-0.6959823632690603,-0.3983352405918453,-0.5769235141981743
chinese rock,10,251532669.0,25153266.9,205821136.0,20582113.6,-0.6959823632690603,-0.42934378655689454,-0.589326932584194
choral,30,297767318.0,9925577.266666668,473378236.0,15779274.533333333,-0.48964059470040827,-0.42566871504060255,-0.464051842836486
christian,176,10226575855.0,58105544.63068182,8859383616.0,54352046.72392638,1.016654315850751,0.3635463484293314,0.7554111288821832
christian alternative rock,40,2039171117.0,50979277.925,3339205472.0,83480136.8,-0.3864697104160823,-0.2872490743925789,-0.3467814560066809
christian country,48,1609692623.0,33535262.979166668,3465837560.0,73741224.68085106,-0.3039330029886215,-0.3213871983817838,-0.31091468114588644
christian hip hop,45,2358044520.0,52400989.333333336,4341124971.0,96469443.8,-0.3348842682739193,-0.2619026602634615,-0.3056916250697362
christian pop,55,2151384446.0,39116080.836363636,2223238109.0,40422511.07272727,-0.23171338398959332,-0.27832952989346965,-0.25035984235114384
christian rock,40,2039171117.0,50979277.925,3339205472.0,83480136.8,-0.3864697104160823,-0.2872490743925789,-0.3467814560066809
christmas,322,11167408286.0,35228417.30599369,32420912352.0,102597823.89873418,2.5229492264019107,0.43833066157014966,1.6891018004692062
city pop,10,2903446.0,290344.6,95888322.0,9588832.2,-0.6959823632690603,-0.4491066742467113,-0.5972320876601207
classic blues,10,50620177.0,5062017.7,447201458.0,44720145.8,-0.6959823632690603,-0.44531379590240583,-0.5957149363223986
classic country,137,3930117232.0,30704040.875,12102302710.0,89646686.74074075,0.6142878671418798,-0.13694270554614438,0.3137956380666701
classic rock,449,28858890243.0,64417165.72098214,85763807997.0,204686892.59427208,3.8332194568128504,1.84458036449671,3.0377638198863943
classic soul,136,1825250432.0,13420959.05882353,15708431628.0,119003269.9090909,0.6039707787134472,-0.3042530710313155,0.24068123881554207
classical,298,2337502713.0,7977824.959044369,7040738826.0,23706191.333333332,2.275339104119528,-0.26353547486099127,1.25978927252732
classical piano,117,1607124796.0,13974998.226086957,2891088062.0,24710154.376068376,0.40794609857322783,-0.3215913082446372,0.11613113584608181
cloud rap,83,2355190458.0,28375788.65060241,8306794280.0,100081858.79518072,0.05716509200651945,-0.2621295221990183,-0.07055275367569566
cold wave,10,128394292.0,12839429.2,695390060.0,77265562.22222222,-0.6959823632690603,-0.4391317345929036,-0.5932421117985976
colombian pop,109,26357248434.0,241809618.66055045,18366925347.0,168503902.26605505,0.325409391145767,1.645731389646247,0.8535381905459591
